 time            V_out           ID              V_load          I_load         
 0.00000000e+00 -2.46932034e-08  2.77555756e-17 -1.45550239e-13  0.00000000e+00 
 1.00000000e-10 -2.19356066e-08  0.00000000e+00 -5.22028643e-10 -5.27103361e-12 
 2.00000000e-10 -2.15143204e-08  0.00000000e+00 -2.08645479e-09 -1.58528746e-11 
 4.00000000e-10 -2.13867567e-08  0.00000000e+00 -8.33006364e-09 -4.76248485e-11 
 8.00000000e-10 -2.14830583e-08  0.00000000e+00 -5.15888718e-08 -1.74661119e-10 
 1.60000000e-09 -2.13990757e-08  2.77555756e-17 -3.76776792e-07 -6.81145279e-10 
 3.20000000e-09 -2.14775498e-08  2.77555756e-17 -2.81930000e-06 -2.69161643e-09 
 6.40000000e-09 -2.14002570e-08 -2.77555756e-17 -2.03885279e-05 -1.06099338e-08 
 1.28000000e-08 -2.14759973e-08  0.00000000e+00 -1.36473870e-04 -4.13529753e-08 
 2.28000000e-08 -2.14011630e-08  0.00000000e+00 -6.04989450e-04 -1.26496473e-07 
 3.28000000e-08 -2.14754999e-08  0.00000000e+00 -1.46771977e-03 -2.53320512e-07 
 4.28000000e-08 -2.14018699e-08  0.00000000e+00 -2.72638106e-03 -4.17821828e-07 
 5.28000000e-08 -2.14750026e-08  0.00000000e+00 -4.35598476e-03 -6.16335493e-07 
 6.28000000e-08 -2.14021364e-08  0.00000000e+00 -6.32455972e-03 -8.45433947e-07 
 7.28000000e-08 -2.14731516e-08  0.00000000e+00 -8.59907975e-03 -1.10183401e-06 
 8.28000000e-08 -2.14021968e-08  0.00000000e+00 -1.11469588e-02 -1.38234565e-06 
 9.28000000e-08 -2.14726720e-08  0.00000000e+00 -1.39362622e-02 -1.68383714e-06 
 1.02800000e-07 -2.14024988e-08  0.00000000e+00 -1.69355862e-02 -2.00321248e-06 
 1.12800000e-07 -2.14721249e-08  0.00000000e+00 -2.01138996e-02 -2.33739879e-06 
 1.22800000e-07 -2.14027617e-08  0.00000000e+00 -2.34404347e-02 -2.68334166e-06 
 1.32800000e-07 -2.14715848e-08  0.00000000e+00 -2.68846399e-02 -3.03800685e-06 
 1.42800000e-07 -2.14030139e-08  0.00000000e+00 -3.04161923e-02 -3.39838685e-06 
 1.52800000e-07 -2.14710413e-08  0.00000000e+00 -3.40050565e-02 -3.76151088e-06 
 1.62800000e-07 -2.14032626e-08  0.00000000e+00 -3.76215792e-02 -4.12445723e-06 
 1.72800000e-07 -2.14705084e-08  0.00000000e+00 -4.12366070e-02 -4.48436694e-06 
 1.82800000e-07 -2.14035148e-08  0.00000000e+00 -4.48216187e-02 -4.83845798e-06 
 1.92800000e-07 -2.14699826e-08  0.00000000e+00 -4.83488640e-02 -5.18403933e-06 
 2.02800000e-07 -2.14037600e-08  0.00000000e+00 -5.17915007e-02 -5.51852447e-06 
 2.12800000e-07 -2.14694568e-08  0.00000000e+00 -5.51237282e-02 -5.83944393e-06 
 2.22800000e-07 -2.14039980e-08  0.00000000e+00 -5.83209117e-02 -6.14445676e-06 
 2.32800000e-07 -2.14689381e-08  0.00000000e+00 -6.13596953e-02 -6.43136068e-06 
 2.42800000e-07 -2.14055079e-08  0.00000000e+00 -6.42181041e-02 -6.69810102e-06 
 2.52800000e-07 -2.14686325e-08  0.00000000e+00 -6.68756325e-02 -6.94277831e-06 
 2.62800000e-07 -2.14056749e-08  0.00000000e+00 -6.93133210e-02 -7.16365473e-06 
 2.72800000e-07 -2.14668420e-08  0.00000000e+00 -7.15138206e-02 -7.35915935e-06 
 2.82800000e-07 -2.14056962e-08  0.00000000e+00 -7.34614460e-02 -7.52789240e-06 
 2.92800000e-07 -2.14664192e-08  0.00000000e+00 -7.51422187e-02 -7.66862859e-06 
 3.02800000e-07 -2.14059271e-08  0.00000000e+00 -7.65439001e-02 -7.78031957e-06 
 3.12800000e-07 -2.14659218e-08  0.00000000e+00 -7.76560177e-02 -7.86209573e-06 
 3.22800000e-07 -2.14061332e-08  0.00000000e+00 -7.84698825e-02 -7.91326725e-06 
 3.32800000e-07 -2.14654386e-08  0.00000000e+00 -7.89786007e-02 -7.93332471e-06 
 3.42800000e-07 -2.14063428e-08  0.00000000e+00 -7.91770796e-02 -7.92193911e-06 
 3.52800000e-07 -2.14649626e-08  0.00000000e+00 -7.90620283e-02 -7.87896142e-06 
 3.62800000e-07 -2.14065489e-08  0.00000000e+00 -7.86319533e-02 -7.80442175e-06 
 3.72800000e-07 -2.14644901e-08  0.00000000e+00 -7.78871507e-02 -7.69852812e-06 
 3.82800000e-07 -2.14067443e-08  0.00000000e+00 -7.68296929e-02 -7.56166467e-06 
 3.92800000e-07 -2.14640176e-08  0.00000000e+00 -7.54634120e-02 -7.39438965e-06 
 4.02800000e-07 -2.14069432e-08  0.00000000e+00 -7.37938785e-02 -7.19743269e-06 
 4.12800000e-07 -2.14635522e-08  0.00000000e+00 -7.18283741e-02 -6.97169171e-06 
 4.22800000e-07 -2.14071315e-08  0.00000000e+00 -6.95758609e-02 -6.71822914e-06 
 4.32800000e-07 -2.14630868e-08  0.00000000e+00 -6.70469423e-02 -6.43826747e-06 
 4.42800000e-07 -2.14073056e-08  0.00000000e+00 -6.42538187e-02 -6.13318392e-06 
 4.52800000e-07 -2.14626142e-08  0.00000000e+00 -6.12102338e-02 -5.80450436e-06 
 4.62800000e-07 -2.14074903e-08  0.00000000e+00 -5.79314125e-02 -5.45389601e-06 
 4.72800000e-07 -2.14621595e-08  0.00000000e+00 -5.44339877e-02 -5.08315906e-06 
 4.82800000e-07 -2.14076751e-08  0.00000000e+00 -5.07359160e-02 -4.69421696e-06 
 4.92800000e-07 -2.14617119e-08  0.00000000e+00 -4.68563795e-02 -4.28910527e-06 
 5.02800000e-07 -2.14078527e-08  0.00000000e+00 -4.28156737e-02 -3.86995888e-06 
 5.12800000e-07 -2.14612642e-08  0.00000000e+00 -3.86350796e-02 -3.43899764e-06 
 5.22800000e-07 -2.14080197e-08  0.00000000e+00 -3.43367193e-02 -2.99851019e-06 
 5.32800000e-07 -2.14595376e-08  0.00000000e+00 -2.99433940e-02 -2.55083607e-06 
 5.42800000e-07 -2.14092525e-08  0.00000000e+00 -2.54784051e-02 -2.09834605e-06 
 5.52800000e-07 -2.14593813e-08  0.00000000e+00 -2.09653584e-02 -1.64342096e-06 
 5.62800000e-07 -2.14093626e-08  0.00000000e+00 -1.64279528e-02 -1.18842903e-06 
 5.72800000e-07 -2.14589230e-08  0.00000000e+00 -1.18897552e-02 -7.35702245e-07 
 5.82800000e-07 -2.14095083e-08  0.00000000e+00 -7.37396599e-03 -2.87512034e-07 
 5.92800000e-07 -2.14585038e-08  0.00000000e+00 -2.90317846e-03  1.53955096e-07 
 6.02800000e-07 -2.14096539e-08  0.00000000e+00  1.50086215e-03  5.86621395e-07 
 6.12800000e-07 -2.14580739e-08  0.00000000e+00  5.81749341e-03  1.00854041e-06 
 6.22800000e-07 -2.14097854e-08  0.00000000e+00  1.00273575e-02  1.41791750e-06 
 6.32800000e-07 -2.14576547e-08  0.00000000e+00  1.41126025e-02  1.81312750e-06 
 6.42800000e-07 -2.14099311e-08  0.00000000e+00  1.80570555e-02  2.19272889e-06 
 6.52800000e-07 -2.14572461e-08  0.00000000e+00  2.18463610e-02  2.55547385e-06 
 6.62800000e-07 -2.14100696e-08  0.00000000e+00  2.54680787e-02  2.90031367e-06 
 6.72800000e-07 -2.14568340e-08  0.00000000e+00  2.89117363e-02  3.22639935e-06 
 6.82800000e-07 -2.14102046e-08  0.00000000e+00  3.21688345e-02  3.53307737e-06 
 6.92800000e-07 -2.14564325e-08  0.00000000e+00  3.52328049e-02  3.81988066e-06 
 7.02800000e-07 -2.14103396e-08  0.00000000e+00  3.80989222e-02  4.08651550e-06 
 7.12800000e-07 -2.14560311e-08  0.00000000e+00  4.07641744e-02  4.33284460e-06 
 7.22800000e-07 -2.14104640e-08  0.00000000e+00  4.32270983e-02  4.55886744e-06 
 7.32800000e-07 -2.14556225e-08  0.00000000e+00  4.54875859e-02  4.76469851e-06 
 7.42800000e-07 -2.14105812e-08  0.00000000e+00  4.75466715e-02  4.95054435e-06 
 7.52800000e-07 -2.14552210e-08  0.00000000e+00  4.94063061e-02  5.11668033e-06 
 7.62800000e-07 -2.14106984e-08  0.00000000e+00  5.10691292e-02  5.26342782e-06 
 7.72800000e-07 -2.14548196e-08  0.00000000e+00  5.25382438e-02  5.39113241e-06 
