 frequency       V_out           V_out          
 1.00000000e+06  1.16039626e+05  1.89322409e+09 
 1.12201845e+06  1.38363586e+05  1.68733774e+09 
 1.25892541e+06  1.56096138e+05  1.50384134e+09 
 1.41253754e+06  1.70181605e+05  1.34030000e+09 
 1.58489319e+06  1.81370088e+05  1.19454362e+09 
 1.77827941e+06  1.90257415e+05  1.06463811e+09 
 1.99526231e+06  1.97316869e+05  9.48859707e+08 
 2.23872114e+06  2.02924392e+05  8.45672093e+08 
 2.51188643e+06  2.07378604e+05  7.53706033e+08 
 2.81838293e+06  2.10916709e+05  6.71741194e+08 
 3.16227766e+06  2.13727123e+05  5.98689953e+08 
 3.54813389e+06  2.15959512e+05  5.33582964e+08 
 3.98107171e+06  2.17732758e+05  4.75556296e+08 
 4.46683592e+06  2.19141293e+05  4.23839972e+08 
 5.01187234e+06  2.20260126e+05  3.77747746e+08 
 5.62341325e+06  2.21148840e+05  3.36668004e+08 
 6.30957344e+06  2.21854762e+05  3.00055641e+08 
 7.07945784e+06  2.22415485e+05  2.67424835e+08 
 7.94328235e+06  2.22860870e+05  2.38342593e+08 
 8.91250938e+06  2.23214634e+05  2.12423013e+08 
 1.00000000e+07  2.23495616e+05  1.89322158e+08 
 1.12201845e+07  2.23718782e+05  1.68733492e+08 
 1.25892541e+07  2.23896013e+05  1.50383817e+08 
 1.41253754e+07  2.24036750e+05  1.34029644e+08 
 1.58489319e+07  2.24148486e+05  1.19453963e+08 
 1.77827941e+07  2.24237172e+05  1.06463364e+08 
 1.99526231e+07  2.24307531e+05  9.48854688e+07 
 2.23872114e+07  2.24363310e+05  8.45666460e+07 
 2.51188643e+07  2.24407479e+05  7.53699713e+07 
 2.81838293e+07  2.24442390e+05  6.71734103e+07 
 3.16227766e+07  2.24469903e+05  5.98681996e+07 
 3.54813389e+07  2.24491482e+05  5.33574036e+07 
 3.98107171e+07  2.24508277e+05  4.75546279e+07 
 4.46683592e+07  2.24521182e+05  4.23828733e+07 
 5.01187234e+07  2.24530885e+05  3.77735136e+07 
 5.62341325e+07  2.24537901e+05  3.36653855e+07 
 6.30957344e+07  2.24542606e+05  3.00039766e+07 
 7.07945784e+07  2.24545248e+05  2.67407022e+07 
 7.94328235e+07  2.24545970e+05  2.38322608e+07 
 8.91250938e+07  2.24544810e+05  2.12400590e+07 
 1.00000000e+08  2.24541706e+05  1.89296999e+07 
 1.12201845e+08  2.24536492e+05  1.68705264e+07 
 1.25892541e+08  2.24528892e+05  1.50352146e+07 
 1.41253754e+08  2.24518502e+05  1.33994111e+07 
 1.58489319e+08  2.24504769e+05  1.19414097e+07 
 1.77827941e+08  2.24486963e+05  1.06418636e+07 
 1.99526231e+08  2.24464138e+05  9.48352889e+06 
 2.23872114e+08  2.24435082e+05  8.45103508e+06 
 2.51188643e+08  2.24398253e+05  7.53068177e+06 
 2.81838293e+08  2.24351699e+05  6.71025657e+06 
 3.16227766e+08  2.24292955e+05  5.97887318e+06 
 3.54813389e+08  2.24218914e+05  5.32682691e+06 
 3.98107171e+08  2.24125667e+05  4.74546594e+06 
 4.46683592e+08  2.24008306e+05  4.22707662e+06 
 5.01187234e+08  2.23860665e+05  3.76478112e+06 
 5.62341325e+08  2.23675022e+05  3.35244632e+06 
 6.30957344e+08  2.23441708e+05  2.98460259e+06 
 7.07945784e+08  2.23148642e+05  2.65637134e+06 
 7.94328235e+08  2.22780759e+05  2.36340068e+06 
 8.91250938e+08  2.22319322e+05  2.10180798e+06 
 1.00000000e+09  2.21741103e+05  1.86812894e+06 
 1.12201845e+09  2.21017419e+05  1.65927242e+06 
 1.25892541e+09  2.20113033e+05  1.47248039e+06 
 1.41253754e+09  2.18984941e+05  1.30529277e+06 
 1.58489319e+09  2.17581088e+05  1.15551668e+06 
 1.77827941e+09  2.15839125e+05  1.02119974e+06 
 1.99526231e+09  2.13685385e+05  9.00607390e+05 
 2.23872114e+09  2.11034343e+05  7.92203782e+05 
 2.51188643e+09  2.07788970e+05  6.94636195e+05 
 2.81838293e+09  2.03842521e+05  6.06722531e+05 
 3.16227766e+09  1.99082412e+05  5.27441390e+05 
 3.54813389e+09  1.93396874e+05  4.55923817e+05 
 3.98107171e+09  1.86684936e+05  3.91445378e+05 
 4.46683592e+09  1.78869818e+05  3.33416727e+05 
 5.01187234e+09  1.69914979e+05  2.81370483e+05 
 5.62341325e+09  1.59840831e+05  2.34942340e+05 
 6.30957344e+09  1.48738841e+05  1.93845242e+05 
 7.07945784e+09  1.36778824e+05  1.57837257e+05 
 7.94328235e+09  1.24205558e+05  1.26686288e+05 
 8.91250938e+09  1.11322690e+05  1.00137013e+05 
 1.00000000e+10  9.84652622e+04  7.78863967e+04 
 1.12201845e+10  8.59656946e+04  5.95728097e+04 
 1.25892541e+10  7.41203275e+04  4.47804431e+04 
 1.41253754e+10  6.31634190e+04  3.30566257e+04 
 1.58489319e+10  5.32529697e+04  2.39365419e+04 
 1.77827941e+10  4.44691224e+04  1.69689104e+04 
 1.99526231e+10  3.68227525e+04  1.17373737e+04 
 2.23872114e+10  3.02702104e+04  7.87472801e+03 
 2.51188643e+10  2.47301206e+04  5.06953745e+03 
 2.81838293e+10  2.00991216e+04  3.06635278e+03 
 3.16227766e+10  1.62647721e+04  1.66150146e+03 
 3.54813389e+10  1.31150128e+04  6.96423739e+02 
 3.98107171e+10  1.05443662e+04  5.01331797e+01 
 4.46683592e+10  8.45745535e+03 -3.68137296e+02 
 5.01187234e+10  6.77053520e+03 -6.25508806e+02 
 5.62341325e+10  5.41168311e+03 -7.70999928e+02 
 6.30957344e+10  4.32016556e+03 -8.40011742e+02 
 7.07945784e+10  3.44536371e+03 -8.57846879e+02 
 7.94328235e+10  2.74551619e+03 -8.42406999e+02 
 8.91250938e+10  2.18644278e+03 -8.06223551e+02 
 1.00000000e+11  1.74034274e+03 -7.57965054e+02 
