 time            V_out           ID              V_load          I_load         
 0.00000000e+00 -7.36777306e-12 -2.77555756e-17 -5.75095527e-14  0.00000000e+00 
 1.00000000e-10 -8.48356886e-04 -5.27976654e-09 -5.22408189e-07 -5.27632213e-09 
 2.00000000e-10 -2.20173439e-03 -1.06083637e-08 -1.56675383e-06 -1.06001318e-08 
 4.00000000e-10 -5.49907902e-03 -2.12680080e-08 -4.68896749e-06 -2.12475770e-08 
 8.00000000e-10 -1.35463586e-02 -4.26019456e-08 -1.70127782e-05 -4.25416510e-08 
 1.60000000e-09 -2.99569233e-02 -8.53278178e-08 -6.48080452e-05 -8.51285988e-08 
 3.20000000e-09 -6.20663527e-02 -1.71006744e-07 -2.44422416e-04 -1.70312411e-07 
 6.40000000e-09 -1.23873154e-01 -3.43234457e-07 -8.81995886e-04 -3.40812838e-07 
 1.28000000e-08 -2.36943402e-01 -6.90852232e-07 -2.93584056e-03 -6.82797266e-07 
 2.28000000e-08 -3.83636130e-01 -1.24091844e-06 -7.32237788e-03 -1.22033204e-06 
 3.28000000e-08 -4.94546278e-01 -1.79681448e-06 -1.23784723e-02 -1.76097187e-06 
 4.28000000e-08 -5.74860508e-01 -2.35548316e-06 -1.76719084e-02 -2.30275341e-06 
 5.28000000e-08 -6.31916781e-01 -2.91379035e-06 -2.30430961e-02 -2.84298458e-06 
 6.28000000e-08 -6.72464849e-01 -3.46856057e-06 -2.84200708e-02 -3.37872704e-06 
 7.28000000e-08 -7.01533906e-01 -4.01661098e-06 -3.37590429e-02 -3.90697877e-06 
 8.28000000e-08 -7.22682581e-01 -4.55478258e-06 -3.90254561e-02 -4.42475376e-06 
 9.28000000e-08 -7.38383043e-01 -5.07996901e-06 -4.41880819e-02 -4.92912521e-06 
 1.02800000e-07 -7.50434461e-01 -5.58913771e-06 -4.92172793e-02 -5.41725037e-06 
 1.12800000e-07 -7.59773076e-01 -6.07937011e-06 -5.40846213e-02 -5.88640809e-06 
 1.22800000e-07 -7.67263361e-01 -6.54785688e-06 -5.87628813e-02 -6.33399419e-06 
 1.32800000e-07 -7.73384309e-01 -6.99193151e-06 -6.32261112e-02 -6.75755105e-06 
 1.42800000e-07 -7.78447960e-01 -7.40908160e-06 -6.74497948e-02 -7.15477625e-06 
 1.52800000e-07 -7.82668037e-01 -7.79696211e-06 -7.14109619e-02 -7.52353285e-06 
 1.62800000e-07 -7.86200030e-01 -8.15340642e-06 -7.50882885e-02 -7.86185750e-06 
 1.72800000e-07 -7.89153251e-01 -8.47643612e-06 -7.84621787e-02 -8.16796727e-06 
 1.82800000e-07 -7.91611856e-01 -8.76426886e-06 -8.15148329e-02 -8.44026474e-06 
 1.92800000e-07 -7.93635706e-01 -9.01532541e-06 -8.42303009e-02 -8.67734224e-06 
 2.02800000e-07 -7.95272992e-01 -9.22823511e-06 -8.65945241e-02 -8.87798490e-06 
 2.12800000e-07 -7.96556979e-01 -9.40184078e-06 -8.85953679e-02 -9.04117306e-06 
 2.22800000e-07 -7.97515131e-01 -9.53520224e-06 -9.02226457e-02 -9.16608386e-06 
 2.32800000e-07 -7.98164276e-01 -9.62759950e-06 -9.14681365e-02 -9.25209252e-06 
 2.42800000e-07 -7.98518062e-01 -9.67853475e-06 -9.23255971e-02 -9.29877296e-06 
 2.52800000e-07 -7.98581390e-01 -9.68773400e-06 -9.27907699e-02 -9.30589829e-06 
 2.62800000e-07 -7.98356944e-01 -9.65514776e-06 -9.28613868e-02 -9.27344077e-06 
 2.72800000e-07 -7.97839114e-01 -9.58095133e-06 -9.25371705e-02 -9.20157172e-06 
 2.82800000e-07 -7.97019906e-01 -9.46554409e-06 -9.18198327e-02 -9.09066103e-06 
 2.92800000e-07 -7.95882260e-01 -9.30954855e-06 -9.07130694e-02 -8.94127652e-06 
 3.02800000e-07 -7.94405348e-01 -9.11380823e-06 -8.92225544e-02 -8.75418285e-06 
 3.12800000e-07 -7.92556901e-01 -8.87938528e-06 -8.73559284e-02 -8.53034023e-06 
 3.22800000e-07 -7.90297532e-01 -8.60755688e-06 -8.51227854e-02 -8.27090254e-06 
 3.32800000e-07 -7.87571127e-01 -8.29981116e-06 -8.25346538e-02 -7.97721507e-06 
 3.42800000e-07 -7.84307012e-01 -7.95784179e-06 -7.96049726e-02 -7.65081134e-06 
 3.52800000e-07 -7.80405995e-01 -7.58354187e-06 -7.63490598e-02 -7.29340934e-06 
 3.62800000e-07 -7.75736857e-01 -7.17899624e-06 -7.27840728e-02 -6.90690653e-06 
 3.72800000e-07 -7.70111317e-01 -6.74647273e-06 -6.89289586e-02 -6.49337378e-06 
 3.82800000e-07 -7.63263921e-01 -6.28841154e-06 -6.48043912e-02 -6.05504770e-06 
 3.92800000e-07 -7.54796053e-01 -5.80741317e-06 -6.04326941e-02 -5.59432140e-06 
 4.02800000e-07 -7.44107998e-01 -5.30622392e-06 -5.58377463e-02 -5.11373310e-06 
 4.12800000e-07 -7.30267543e-01 -4.78771963e-06 -5.10448682e-02 -4.61595272e-06 
 4.22800000e-07 -7.11859439e-01 -4.25488642e-06 -4.60806842e-02 -4.10376573e-06 
