 V3         V_diff:Iss=5.00e-07       
-1.00000000e-01  6.46645222e-01 
-9.90000000e-02  6.44904826e-01 
-9.80000000e-02  6.43156729e-01 
-9.70000000e-02  6.41406506e-01 
-9.60000000e-02  6.39652123e-01 
-9.50000000e-02  6.37893401e-01 
-9.40000000e-02  6.36130235e-01 
-9.30000000e-02  6.34362370e-01 
-9.20000000e-02  6.32589723e-01 
-9.10000000e-02  6.30812077e-01 
-9.00000000e-02  6.29029271e-01 
-8.90000000e-02  6.27241070e-01 
-8.80000000e-02  6.25447268e-01 
-8.70000000e-02  6.23647707e-01 
-8.60000000e-02  6.21842156e-01 
-8.50000000e-02  6.20030383e-01 
-8.40000000e-02  6.18212106e-01 
-8.30000000e-02  6.16387086e-01 
-8.20000000e-02  6.14555082e-01 
-8.10000000e-02  6.12715787e-01 
-8.00000000e-02  6.10868974e-01 
-7.90000000e-02  6.09014275e-01 
-7.80000000e-02  6.07151393e-01 
-7.70000000e-02  6.05279984e-01 
-7.60000000e-02  6.03399732e-01 
-7.50000000e-02  6.01510267e-01 
-7.40000000e-02  5.99611115e-01 
-7.30000000e-02  5.97701971e-01 
-7.20000000e-02  5.95782382e-01 
-7.10000000e-02  5.93851825e-01 
-7.00000000e-02  5.91909946e-01 
-6.90000000e-02  5.89956168e-01 
-6.80000000e-02  5.87990006e-01 
-6.70000000e-02  5.86010892e-01 
-6.60000000e-02  5.84018195e-01 
-6.50000000e-02  5.82011360e-01 
-6.40000000e-02  5.79989727e-01 
-6.30000000e-02  5.77952559e-01 
-6.20000000e-02  5.75899180e-01 
-6.10000000e-02  5.73828767e-01 
-6.00000000e-02  5.71740510e-01 
-5.90000000e-02  5.69633555e-01 
-5.80000000e-02  5.67506987e-01 
-5.70000000e-02  5.65359732e-01 
-5.60000000e-02  5.63190828e-01 
-5.50000000e-02  5.60999080e-01 
-5.40000000e-02  5.58783354e-01 
-5.30000000e-02  5.56542291e-01 
-5.20000000e-02  5.54274603e-01 
-5.10000000e-02  5.51978758e-01 
-5.00000000e-02  5.49653196e-01 
-4.90000000e-02  5.47296158e-01 
-4.80000000e-02  5.44905907e-01 
-4.70000000e-02  5.42480457e-01 
-4.60000000e-02  5.40017560e-01 
-4.50000000e-02  5.37514976e-01 
-4.40000000e-02  5.34970204e-01 
