 V3         V_diff         
-1.00000000e-01  9.19604467e-01 
-9.90000000e-02  9.17984877e-01 
-9.80000000e-02  9.16297494e-01 
-9.70000000e-02  9.14592511e-01 
-9.60000000e-02  9.12852640e-01 
-9.50000000e-02  9.11077439e-01 
-9.40000000e-02  9.09266471e-01 
-9.30000000e-02  9.07419292e-01 
-9.20000000e-02  9.05535453e-01 
-9.10000000e-02  9.03614499e-01 
-9.00000000e-02  9.01655966e-01 
-8.90000000e-02  8.99659382e-01 
-8.80000000e-02  8.97624267e-01 
-8.70000000e-02  8.95550131e-01 
-8.60000000e-02  8.93436472e-01 
-8.50000000e-02  8.91282776e-01 
-8.40000000e-02  8.89088518e-01 
-8.30000000e-02  8.86853156e-01 
-8.20000000e-02  8.84576135e-01 
-8.10000000e-02  8.82256880e-01 
-8.00000000e-02  8.79894801e-01 
-7.90000000e-02  8.77489286e-01 
-7.80000000e-02  8.75039701e-01 
-7.70000000e-02  8.72545388e-01 
-7.60000000e-02  8.70005667e-01 
-7.50000000e-02  8.67419825e-01 
-7.40000000e-02  8.64787123e-01 
-7.30000000e-02  8.62106788e-01 
-7.20000000e-02  8.59378012e-01 
-7.10000000e-02  8.56599949e-01 
-7.00000000e-02  8.53771711e-01 
-6.90000000e-02  8.50892366e-01 
-6.80000000e-02  8.47960934e-01 
-6.70000000e-02  8.44976381e-01 
-6.60000000e-02  8.41937618e-01 
-6.50000000e-02  8.38843492e-01 
-6.40000000e-02  8.35692784e-01 
-6.30000000e-02  8.32484202e-01 
-6.20000000e-02  8.29216373e-01 
-6.10000000e-02  8.25887838e-01 
-6.00000000e-02  8.22497042e-01 
-5.90000000e-02  8.19042329e-01 
-5.80000000e-02  8.15521925e-01 
-5.70000000e-02  8.11933936e-01 
-5.60000000e-02  8.08276326e-01 
-5.50000000e-02  8.04546912e-01 
-5.40000000e-02  8.00743341e-01 
-5.30000000e-02  7.96863078e-01 
-5.20000000e-02  7.92903383e-01 
-5.10000000e-02  7.88861286e-01 
-5.00000000e-02  7.84733566e-01 
-4.90000000e-02  7.80516718e-01 
-4.80000000e-02  7.76206918e-01 
-4.70000000e-02  7.71799982e-01 
-4.60000000e-02  7.67291322e-01 
-4.50000000e-02  7.62675893e-01 
-4.40000000e-02  7.57948124e-01 
-4.30000000e-02  7.53101845e-01 
-4.20000000e-02  7.48130202e-01 
-4.10000000e-02  7.43025543e-01 
-4.00000000e-02  7.37779297e-01 
-3.90000000e-02  7.32381818e-01 
-3.80000000e-02  7.26822196e-01 
-3.70000000e-02  7.21088031e-01 
-3.60000000e-02  7.15165151e-01 
-3.50000000e-02  7.09037262e-01 
-3.40000000e-02  7.02685515e-01 
-3.30000000e-02  6.96087959e-01 
-3.20000000e-02  6.89218858e-01 
-3.10000000e-02  6.82047812e-01 
-3.00000000e-02  6.74538661e-01 
-2.90000000e-02  6.66648093e-01 
-2.80000000e-02  6.58323901e-01 
-2.70000000e-02  6.49502867e-01 
-2.60000000e-02  6.40108294e-01 
-2.50000000e-02  6.30047401e-01 
-2.40000000e-02  6.19209116e-01 
-2.30000000e-02  6.07463394e-01 
-2.20000000e-02  5.94663828e-01 
-2.10000000e-02  5.80655580e-01 
-2.00000000e-02  5.65289223e-01 
-1.90000000e-02  5.48437554e-01 
-1.80000000e-02  5.30008856e-01 
-1.70000000e-02  5.09951082e-01 
-1.60000000e-02  4.88247393e-01 
-1.50000000e-02  4.64908123e-01 
-1.40000000e-02  4.39963563e-01 
-1.30000000e-02  4.13459349e-01 
-1.20000000e-02  3.85457191e-01 
-1.10000000e-02  3.56049693e-01 
-1.00000000e-02  3.25399200e-01 
-9.00000000e-03  2.93777205e-01 
-8.00000000e-03  2.61532641e-01 
-7.00000000e-03  2.28980306e-01 
-6.00000000e-03  1.96317113e-01 
-5.00000000e-03  1.63626861e-01 
-4.00000000e-03  1.30928972e-01 
-3.00000000e-03  9.82198384e-02 
-2.00000000e-03  6.54941012e-02 
-1.00000000e-03  3.27520404e-02 
 7.63278329e-17  2.61787856e-08 
 1.00000000e-03 -3.27520049e-02 
 2.00000000e-03 -6.54941192e-02 
 3.00000000e-03 -9.82199500e-02 
 4.00000000e-03 -1.30929198e-01 
 5.00000000e-03 -1.63627115e-01 
 6.00000000e-03 -1.96317017e-01 
 7.00000000e-03 -2.28979192e-01 
 8.00000000e-03 -2.61530365e-01 
 9.00000000e-03 -2.93774949e-01 
 1.00000000e-02 -3.25398171e-01 
 1.10000000e-02 -3.56049827e-01 
