 V3         V_out:Iss=5.00e-07        
-1.00000000e-01  5.81518214e-01 
-9.90000000e-02  5.82422872e-01 
-9.80000000e-02  5.83332095e-01 
-9.70000000e-02  5.84242603e-01 
-9.60000000e-02  5.85155632e-01 
-9.50000000e-02  5.86071273e-01 
-9.40000000e-02  5.86989623e-01 
-9.30000000e-02  5.87910785e-01 
-9.20000000e-02  5.88834863e-01 
-9.10000000e-02  5.89761968e-01 
-9.00000000e-02  5.90692216e-01 
-8.90000000e-02  5.91625728e-01 
-8.80000000e-02  5.92562631e-01 
-8.70000000e-02  5.93503057e-01 
-8.60000000e-02  5.94447145e-01 
-8.50000000e-02  5.95395042e-01 
-8.40000000e-02  5.96346899e-01 
-8.30000000e-02  5.97302876e-01 
-8.20000000e-02  5.98263143e-01 
-8.10000000e-02  5.99227875e-01 
-8.00000000e-02  6.00197258e-01 
-7.90000000e-02  6.01171486e-01 
-7.80000000e-02  6.02150765e-01 
-7.70000000e-02  6.03135310e-01 
-7.60000000e-02  6.04125347e-01 
-7.50000000e-02  6.05121117e-01 
-7.40000000e-02  6.06122871e-01 
-7.30000000e-02  6.07130875e-01 
-7.20000000e-02  6.08145410e-01 
-7.10000000e-02  6.09166772e-01 
-7.00000000e-02  6.10195274e-01 
-6.90000000e-02  6.11231249e-01 
-6.80000000e-02  6.12275047e-01 
-6.70000000e-02  6.13327040e-01 
-6.60000000e-02  6.14387624e-01 
-6.50000000e-02  6.15457216e-01 
-6.40000000e-02  6.16536263e-01 
-6.30000000e-02  6.17625238e-01 
-6.20000000e-02  6.18724647e-01 
-6.10000000e-02  6.19835026e-01 
-6.00000000e-02  6.20956952e-01 
-5.90000000e-02  6.22091037e-01 
-5.80000000e-02  6.23237939e-01 
-5.70000000e-02  6.24398363e-01 
-5.60000000e-02  6.25573065e-01 
-5.50000000e-02  6.26762859e-01 
-5.40000000e-02  6.27968619e-01 
-5.30000000e-02  6.29191291e-01 
-5.20000000e-02  6.30431896e-01 
-5.10000000e-02  6.31691540e-01 
-5.00000000e-02  6.32971423e-01 
-4.90000000e-02  6.34272851e-01 
-4.80000000e-02  6.35597248e-01 
-4.70000000e-02  6.36946169e-01 
-4.60000000e-02  6.38321322e-01 
-4.50000000e-02  6.39724580e-01 
-4.40000000e-02  6.41158014e-01 
-4.30000000e-02  6.42623913e-01 
-4.20000000e-02  6.44124818e-01 
-4.10000000e-02  6.45663565e-01 
-4.00000000e-02  6.47243331e-01 
-3.90000000e-02  6.48867688e-01 
-3.80000000e-02  6.50540677e-01 
-3.70000000e-02  6.52266894e-01 
-3.60000000e-02  6.54051598e-01 
-3.50000000e-02  6.55900843e-01 
