 V7         I_VP:IQ=1.00e-07          I_VN:IQ=1.00e-07         
-5.00000000e-01  2.60717309e-05  1.00496761e-12 
-4.90000000e-01  2.50131110e-05  1.03519345e-12 
-4.80000000e-01  2.39842436e-05  1.08665120e-12 
-4.70000000e-01  2.29634410e-05  1.14876737e-12 
-4.60000000e-01  2.19585047e-05  1.23158894e-12 
-4.50000000e-01  2.09698790e-05  1.34197146e-12 
-4.40000000e-01  1.99980211e-05  1.48912967e-12 
-4.30000000e-01  1.90434023e-05  1.68516486e-12 
-4.20000000e-01  1.81065083e-05  1.94648039e-12 
-4.10000000e-01  1.71878407e-05  2.29469759e-12 
-4.00000000e-01  1.62879176e-05  2.75868196e-12 
-3.90000000e-01  1.54072742e-05  3.37681901e-12 
-3.80000000e-01  1.45464640e-05  4.20040050e-12 
-3.70000000e-01  1.37060592e-05  5.29753787e-12 
-3.60000000e-01  1.28866511e-05  6.75887986e-12 
-3.50000000e-01  1.20888502e-05  8.70502317e-12 
-3.40000000e-01  1.13132855e-05  1.12963934e-11 
-3.30000000e-01  1.05606042e-05  1.47463731e-11 
-3.20000000e-01  9.83146936e-06  1.93383163e-11 
-3.10000000e-01  9.12655734e-06  2.54487512e-11 
-3.00000000e-01  8.44655384e-06  3.35774676e-11 
-2.90000000e-01  7.79214837e-06  4.43877619e-11 
-2.80000000e-01  7.16402699e-06  5.87586448e-11 
-2.70000000e-01  6.56286291e-06  7.78547017e-11 
-2.60000000e-01  5.98930485e-06  1.03216963e-10 
-2.50000000e-01  5.44396272e-06  1.36882338e-10 
-2.40000000e-01  4.92739077e-06  1.81539901e-10 
-2.30000000e-01  4.44006807e-06  2.40734480e-10 
-2.20000000e-01  3.98237671e-06  3.19131388e-10 
-2.10000000e-01  3.55457826e-06  4.22857951e-10 
-2.00000000e-01  3.15678925e-06  5.59945596e-10 
-1.90000000e-01  2.78895716e-06  7.40894982e-10 
-1.80000000e-01  2.45083826e-06  9.79396802e-10 
-1.70000000e-01  2.14197933e-06  1.29324503e-09 
-1.60000000e-01  1.86170511e-06  1.70548525e-09 
-1.50000000e-01  1.60911350e-06  2.24584592e-09 
-1.40000000e-01  1.38307993e-06  2.95250717e-09 
-1.30000000e-01  1.18227191e-06  3.87426354e-09 
-1.20000000e-01  1.00517371e-06  5.07313822e-09 
-1.10000000e-01  8.50120213e-07  6.62750425e-09 
-1.00000000e-01  7.15338049e-07  8.63576014e-09 
-9.00000000e-02  5.98991122e-07  1.12205982e-08 
-8.00000000e-02  4.99227359e-07  1.45338859e-08 
-7.00000000e-02  4.14223356e-07  1.87621681e-08 
-6.00000000e-02  3.42224003e-07  2.41327811e-08 
-5.00000000e-02  2.81574886e-07  3.09205659e-08 
-4.00000000e-02  2.30746207e-07  3.94551709e-08 
-3.00000000e-02  1.88347888e-07  5.01289602e-08 
-2.00000000e-02  1.53136401e-07  6.34055826e-08 
-1.00000000e-02  1.24014465e-07  7.98293054e-08 
 3.08780779e-16  1.00025146e-07  1.00035270e-07 
 1.00000000e-02  8.03420177e-08  1.24760841e-07 
 2.00000000e-02  6.42569367e-08  1.54858210e-07 
 3.00000000e-02  5.11668086e-08  1.91308278e-07 
 4.00000000e-02  4.05603760e-08  2.35235669e-07 
 5.00000000e-02  3.20057708e-08  2.87924384e-07 
 6.00000000e-02  2.51392547e-08  3.50833190e-07 
 7.00000000e-02  1.96553258e-08  4.25609378e-07 
 8.00000000e-02  1.52981868e-08  5.14098998e-07 
 9.00000000e-02  1.18544517e-08  6.18351286e-07 
 1.00000000e-01  9.14691855e-09  7.40614688e-07 
 1.10000000e-01  7.02922148e-09  8.83321929e-07 
 1.20000000e-01  5.38120776e-09  1.04906189e-06 
 1.30000000e-01  4.10490958e-09  1.24053684e-06 
 1.40000000e-01  3.12101811e-09  1.46050490e-06 
 1.50000000e-01  2.36580305e-09  1.71170891e-06 
 1.60000000e-01  1.78842902e-09  1.99679500e-06 
 1.70000000e-01  1.34863648e-09  2.31822550e-06 
 1.80000000e-01  1.01476216e-09  2.67819233e-06 
 1.90000000e-01  7.62064301e-10  3.07853739e-06 
 2.00000000e-01  5.71327042e-10  3.52068643e-06 
 2.10000000e-01  4.27708092e-10  4.00560162e-06 
 2.20000000e-01  3.19802019e-10  4.53375618e-06 
 2.30000000e-01  2.38883581e-10  5.10513229e-06 
 2.40000000e-01  1.78305982e-10  5.71924115e-06 
 2.50000000e-01  1.33023260e-10  6.37516216e-06 
 2.60000000e-01  9.92180792e-11  7.07159682e-06 
 2.70000000e-01  7.40100214e-11  7.80693217e-06 
 2.80000000e-01  5.52312650e-11  8.57930880e-06 
 2.90000000e-01  4.12543343e-11  9.38668883e-06 
 3.00000000e-01  3.08589276e-11  1.02269202e-05 
 3.10000000e-01  2.31326635e-11  1.10977942e-05 
 3.20000000e-01  1.73933101e-11  1.19970959e-05 
 3.30000000e-01  1.31320521e-11  1.29226447e-05 
 3.40000000e-01  9.96952626e-12  1.38723269e-05 
 3.50000000e-01  7.62329194e-12  1.48441200e-05 
 3.60000000e-01  5.88329490e-12  1.58361095e-05 
 3.70000000e-01  4.59299371e-12  1.68464996e-05 
 3.80000000e-01  3.63681413e-12  1.78736186e-05 
 3.90000000e-01  2.92793673e-12  1.89159201e-05 
 4.00000000e-01  2.40291226e-12  1.99719816e-05 
 4.10000000e-01  2.01377909e-12  2.10404999e-05 
 4.20000000e-01  1.72550968e-12  2.21202855e-05 
 4.30000000e-01  1.51212481e-12  2.32102561e-05 
 4.40000000e-01  1.35397354e-12  2.43094287e-05 
 4.50000000e-01  1.23678950e-12  2.54169122e-05 
 4.60000000e-01  1.15008109e-12  2.65319002e-05 
 4.70000000e-01  1.08591020e-12  2.76536631e-05 
 4.80000000e-01  1.03844816e-12  2.87815410e-05 
 4.90000000e-01  1.00319858e-12  2.99149377e-05 
 5.00000000e-01  9.77163850e-13  3.10533141e-05 
 V7         I_VP:IQ=1.00e-06          I_VN:IQ=1.00e-06         
-5.00000000e-01  3.96811179e-05  3.94576815e-12 
-4.90000000e-01  3.84741979e-05  4.82009694e-12 
-4.80000000e-01  3.72884115e-05  6.30704634e-12 
-4.70000000e-01  3.61083902e-05  8.10336669e-12 
-4.60000000e-01  3.49396931e-05  1.04953430e-11 
-4.50000000e-01  3.37826559e-05  1.36798990e-11 
-4.40000000e-01  3.26376206e-05  1.79189892e-11 
