 V7         V_out:IQ=1.00e-07        
-5.00000000e-02  8.90766679e-01 
-4.90000000e-02  8.90344735e-01 
-4.80000000e-02  8.89876905e-01 
-4.70000000e-02  8.89395163e-01 
-4.60000000e-02  8.88886569e-01 
-4.50000000e-02  8.88349122e-01 
-4.40000000e-02  8.87780648e-01 
-4.30000000e-02  8.87178731e-01 
-4.20000000e-02  8.86540675e-01 
-4.10000000e-02  8.85863463e-01 
-4.00000000e-02  8.85143697e-01 
-3.90000000e-02  8.84377531e-01 
-3.80000000e-02  8.83560585e-01 
-3.70000000e-02  8.82687834e-01 
-3.60000000e-02  8.81753473e-01 
-3.50000000e-02  8.80750739e-01 
-3.40000000e-02  8.79671678e-01 
-3.30000000e-02  8.78506840e-01 
-3.20000000e-02  8.77244863e-01 
-3.10000000e-02  8.75871907e-01 
-3.00000000e-02  8.74370864e-01 
-2.90000000e-02  8.72720212e-01 
-2.80000000e-02  8.70892350e-01 
-2.70000000e-02  8.68851062e-01 
-2.60000000e-02  8.66547556e-01 
-2.50000000e-02  8.63914022e-01 
-2.40000000e-02  8.60852711e-01 
-2.30000000e-02  8.57216503e-01 
-2.20000000e-02  8.52772583e-01 
-2.10000000e-02  8.47131385e-01 
-2.00000000e-02  8.39605146e-01 
-1.90000000e-02  8.28950722e-01 
-1.80000000e-02  8.13115376e-01 
-1.70000000e-02  7.89904135e-01 
-1.60000000e-02  7.59248215e-01 
-1.50000000e-02  7.23121554e-01 
-1.40000000e-02  6.83153395e-01 
-1.30000000e-02  6.40349818e-01 
-1.20000000e-02  5.95399830e-01 
-1.10000000e-02  5.48806976e-01 
-1.00000000e-02  5.00957414e-01 
-9.00000000e-03  4.52156405e-01 
-8.00000000e-03  4.02649940e-01 
-7.00000000e-03  3.52639310e-01 
-6.00000000e-03  3.02291702e-01 
-5.00000000e-03  2.51748229e-01 
-4.00000000e-03  2.01130122e-01 
-3.00000000e-03  1.50543579e-01 
-2.00000000e-03  1.00083607e-01 
-1.00000000e-03  4.98371350e-02 
 3.46944695e-17 -1.14418644e-04 
 1.00000000e-03 -4.96929522e-02 
 2.00000000e-03 -9.88217393e-02 
 3.00000000e-03 -1.47423643e-01 
 4.00000000e-03 -1.95419400e-01 
 5.00000000e-03 -2.42725919e-01 
 6.00000000e-03 -2.89254547e-01 
 7.00000000e-03 -3.34909283e-01 
 8.00000000e-03 -3.79584962e-01 
 9.00000000e-03 -4.23165451e-01 
 1.00000000e-02 -4.65522030e-01 
 1.10000000e-02 -5.06512143e-01 
 1.20000000e-02 -5.45978914e-01 
 1.30000000e-02 -5.83751840e-01 
 1.40000000e-02 -6.19649164e-01 
 1.50000000e-02 -6.53482140e-01 
 1.60000000e-02 -6.85060774e-01 
 1.70000000e-02 -7.14199348e-01 
 1.80000000e-02 -7.40718448e-01 
 1.90000000e-02 -7.64440203e-01 
 2.00000000e-02 -7.85181192e-01 
 2.10000000e-02 -8.02771933e-01 
 2.20000000e-02 -8.17151734e-01 
 2.30000000e-02 -8.28512533e-01 
 2.40000000e-02 -8.37335666e-01 
 2.50000000e-02 -8.44238103e-01 
 2.60000000e-02 -8.49764528e-01 
 2.70000000e-02 -8.54302868e-01 
 2.80000000e-02 -8.58113277e-01 
 2.90000000e-02 -8.61373145e-01 
 3.00000000e-02 -8.64206091e-01 
 3.10000000e-02 -8.66700098e-01 
 3.20000000e-02 -8.68919271e-01 
 3.30000000e-02 -8.70911429e-01 
 3.40000000e-02 -8.72713038e-01 
 3.50000000e-02 -8.74352471e-01 
 3.60000000e-02 -8.75852209e-01 
 3.70000000e-02 -8.77230359e-01 
 3.80000000e-02 -8.78501716e-01 
 3.90000000e-02 -8.79678529e-01 
 4.00000000e-02 -8.80771059e-01 
 4.10000000e-02 -8.81787989e-01 
 4.20000000e-02 -8.82736740e-01 
 4.30000000e-02 -8.83623705e-01 
 4.40000000e-02 -8.84454435e-01 
 4.50000000e-02 -8.85233784e-01 
 4.60000000e-02 -8.85966023e-01 
 4.70000000e-02 -8.86654932e-01 
 4.80000000e-02 -8.87303872e-01 
 4.90000000e-02 -8.87915850e-01 
 5.00000000e-02 -8.88493564e-01 
 V7         V_out:IQ=1.00e-06        
-5.00000000e-02  8.74193265e-01 
-4.90000000e-02  8.73332770e-01 
-4.80000000e-02  8.72397930e-01 
-4.70000000e-02  8.71440823e-01 
-4.60000000e-02  8.70440633e-01 
-4.50000000e-02  8.69394312e-01 
-4.40000000e-02  8.68298535e-01 
-4.30000000e-02  8.67149584e-01 
-4.20000000e-02  8.65943286e-01 
-4.10000000e-02  8.64674939e-01 
-4.00000000e-02  8.63339208e-01 
-3.90000000e-02  8.61930006e-01 
-3.80000000e-02  8.60440337e-01 
-3.70000000e-02  8.58862100e-01 
-3.60000000e-02  8.57185835e-01 
-3.50000000e-02  8.55400393e-01 
-3.40000000e-02  8.53492494e-01 
-3.30000000e-02  8.51446145e-01 
-3.20000000e-02  8.49241826e-01 
-3.10000000e-02  8.46855370e-01 
-3.00000000e-02  8.44256362e-01 
-2.90000000e-02  8.41405807e-01 
-2.80000000e-02  8.38252650e-01 
-2.70000000e-02  8.34728437e-01 
-2.60000000e-02  8.30738899e-01 
-2.50000000e-02  8.26150341e-01 
-2.40000000e-02  8.20767180e-01 
-2.30000000e-02  8.14294896e-01 
-2.20000000e-02  8.06282014e-01 
-2.10000000e-02  7.96046703e-01 
-2.00000000e-02  7.82652833e-01 
-1.90000000e-02  7.65124647e-01 
-1.80000000e-02  7.42989407e-01 
-1.70000000e-02  7.16556068e-01 
-1.60000000e-02  6.86487552e-01 
-1.50000000e-02  6.53385241e-01 
-1.40000000e-02  6.17720378e-01 
-1.30000000e-02  5.79874876e-01 
-1.20000000e-02  5.40176364e-01 
-1.10000000e-02  4.98915801e-01 
-1.00000000e-02  4.56354454e-01 
-9.00000000e-03  4.12726561e-01 
-8.00000000e-03  3.68240957e-01 
-7.00000000e-03  3.23082892e-01 
-6.00000000e-03  2.77416276e-01 
-5.00000000e-03  2.31386267e-01 
-4.00000000e-03  1.85121980e-01 
-3.00000000e-03  1.38739187e-01 
-2.00000000e-03  9.23428962e-02 
-1.00000000e-03  4.60297639e-02 
