 V7         V_out          
-5.00000000e-02  7.62169964e-01 
-4.90000000e-02  7.59423610e-01 
-4.80000000e-02  7.56474256e-01 
-4.70000000e-02  7.53461292e-01 
-4.60000000e-02  7.50325869e-01 
-4.50000000e-02  7.47056919e-01 
-4.40000000e-02  7.43642080e-01 
-4.30000000e-02  7.40067123e-01 
-4.20000000e-02  7.36315629e-01 
-4.10000000e-02  7.32368558e-01 
-4.00000000e-02  7.28203724e-01 
-3.90000000e-02  7.23795162e-01 
-3.80000000e-02  7.19112372e-01 
-3.70000000e-02  7.14119442e-01 
-3.60000000e-02  7.08774068e-01 
-3.50000000e-02  7.03026535e-01 
-3.40000000e-02  6.96818801e-01 
-3.30000000e-02  6.90083961e-01 
-3.20000000e-02  6.82746485e-01 
-3.10000000e-02  6.74723809e-01 
-3.00000000e-02  6.65929752e-01 
-2.90000000e-02  6.56279901e-01 
-2.80000000e-02  6.45698153e-01 
-2.70000000e-02  6.34122661e-01 
-2.60000000e-02  6.21509092e-01 
-2.50000000e-02  6.07830117e-01 
-2.40000000e-02  5.93071894e-01 
-2.30000000e-02  5.77229489e-01 
-2.20000000e-02  5.60303088e-01 
-2.10000000e-02  5.42295834e-01 
-2.00000000e-02  5.23213224e-01 
-1.90000000e-02  5.03063553e-01 
-1.80000000e-02  4.81858853e-01 
-1.70000000e-02  4.59615914e-01 
-1.60000000e-02  4.36357152e-01 
-1.50000000e-02  4.12111201e-01 
-1.40000000e-02  3.86913187e-01 
-1.30000000e-02  3.60804702e-01 
-1.20000000e-02  3.33833520e-01 
-1.10000000e-02  3.06053107e-01 
-1.00000000e-02  2.77521995e-01 
-9.00000000e-03  2.48303084e-01 
-8.00000000e-03  2.18462913e-01 
-7.00000000e-03  1.88070971e-01 
-6.00000000e-03  1.57199070e-01 
-5.00000000e-03  1.25920800e-01 
-4.00000000e-03  9.43110916e-02 
-3.00000000e-03  6.24458758e-02 
-2.00000000e-03  3.04018417e-02 
-1.00000000e-03 -1.74372678e-03 
 3.46944695e-17 -3.39130523e-02 
 1.00000000e-03 -6.60279278e-02 
 2.00000000e-03 -9.80097686e-02 
 3.00000000e-03 -1.29779683e-01 
 4.00000000e-03 -1.61258589e-01 
 5.00000000e-03 -1.92367408e-01 
 6.00000000e-03 -2.23027366e-01 
 7.00000000e-03 -2.53160425e-01 
 8.00000000e-03 -2.82689863e-01 
 9.00000000e-03 -3.11541017e-01 
 1.00000000e-02 -3.39642189e-01 
 1.10000000e-02 -3.66925682e-01 
 1.20000000e-02 -3.93328951e-01 
 1.30000000e-02 -4.18795792e-01 
 1.40000000e-02 -4.43277508e-01 
 1.50000000e-02 -4.66733960e-01 
 1.60000000e-02 -4.89134426e-01 
 1.70000000e-02 -5.10458173e-01 
 1.80000000e-02 -5.30694701e-01 
 1.90000000e-02 -5.49843617e-01 
 2.00000000e-02 -5.67914145e-01 
 2.10000000e-02 -5.84924303e-01 
 2.20000000e-02 -6.00899829e-01 
 2.30000000e-02 -6.15872909e-01 
 2.40000000e-02 -6.29880832e-01 
 2.50000000e-02 -6.42964640e-01 
 2.60000000e-02 -6.55167876e-01 
 2.70000000e-02 -6.66535486e-01 
 2.80000000e-02 -6.77112949e-01 
 2.90000000e-02 -6.86945647e-01 
 3.00000000e-02 -6.96078491e-01 
 3.10000000e-02 -7.04555765e-01 
 3.20000000e-02 -7.12421110e-01 
 3.30000000e-02 -7.19717551e-01 
 3.40000000e-02 -7.26487466e-01 
 3.50000000e-02 -7.32772409e-01 
 3.60000000e-02 -7.38612801e-01 
 3.70000000e-02 -7.44047500e-01 
 3.80000000e-02 -7.49113364e-01 
 3.90000000e-02 -7.53844857e-01 
 4.00000000e-02 -7.58273784e-01 
 4.10000000e-02 -7.62429152e-01 
 4.20000000e-02 -7.66337164e-01 
 4.30000000e-02 -7.70021318e-01 
 4.40000000e-02 -7.73502573e-01 
 4.50000000e-02 -7.76799557e-01 
 4.60000000e-02 -7.79928799e-01 
 4.70000000e-02 -7.82904949e-01 
 4.80000000e-02 -7.85741001e-01 
 4.90000000e-02 -7.88448491e-01 
 5.00000000e-02 -7.91037675e-01 
