 V7         V_out          
-5.00000000e-02  7.77218103e-01 
-4.90000000e-02  7.74714297e-01 
-4.80000000e-02  7.72040242e-01 
-4.70000000e-02  7.69314300e-01 
-4.60000000e-02  7.66488164e-01 
-4.50000000e-02  7.63553871e-01 
-4.40000000e-02  7.60502605e-01 
-4.30000000e-02  7.57324334e-01 
-4.20000000e-02  7.54007610e-01 
-4.10000000e-02  7.50539298e-01 
-4.00000000e-02  7.46904241e-01 
-3.90000000e-02  7.43084851e-01 
-3.80000000e-02  7.39060591e-01 
-3.70000000e-02  7.34807342e-01 
-3.60000000e-02  7.30296615e-01 
-3.50000000e-02  7.25494587e-01 
-3.40000000e-02  7.20360932e-01 
-3.30000000e-02  7.14847461e-01 
-3.20000000e-02  7.08896601e-01 
-3.10000000e-02  7.02439894e-01 
-3.00000000e-02  6.95396824e-01 
-2.90000000e-02  6.87674598e-01 
-2.80000000e-02  6.79169763e-01 
-2.70000000e-02  6.69772634e-01 
-2.60000000e-02  6.59374994e-01 
-2.50000000e-02  6.47879970e-01 
-2.40000000e-02  6.35211090e-01 
-2.30000000e-02  6.21316843e-01 
-2.20000000e-02  6.06169036e-01 
-2.10000000e-02  5.89756721e-01 
-2.00000000e-02  5.72079299e-01 
-1.90000000e-02  5.53141595e-01 
-1.80000000e-02  5.32951701e-01 
-1.70000000e-02  5.11520973e-01 
-1.60000000e-02  4.88865197e-01 
-1.50000000e-02  4.65006061e-01 
-1.40000000e-02  4.39972467e-01 
-1.30000000e-02  4.13801407e-01 
-1.20000000e-02  3.86538349e-01 
-1.10000000e-02  3.58237149e-01 
-1.00000000e-02  3.28959571e-01 
-9.00000000e-03  2.98774512e-01 
-8.00000000e-03  2.67757044e-01 
-7.00000000e-03  2.35987381e-01 
-6.00000000e-03  2.03549855e-01 
-5.00000000e-03  1.70531971e-01 
-4.00000000e-03  1.37023590e-01 
-3.00000000e-03  1.03116271e-01 
-2.00000000e-03  6.89027685e-02 
-1.00000000e-03  3.44766845e-02 
 3.46944695e-17 -6.77476910e-05 
 1.00000000e-03 -3.46357822e-02 
 2.00000000e-03 -6.91322169e-02 
 3.00000000e-03 -1.03461432e-01 
 4.00000000e-03 -1.37527454e-01 
 5.00000000e-03 -1.71234102e-01 
 6.00000000e-03 -2.04485248e-01 
 7.00000000e-03 -2.37185252e-01 
 8.00000000e-03 -2.69239609e-01 
 9.00000000e-03 -3.00555824e-01 
 1.00000000e-02 -3.31044540e-01 
 1.10000000e-02 -3.60620903e-01 
 1.20000000e-02 -3.89206107e-01 
 1.30000000e-02 -4.16729064e-01 
 1.40000000e-02 -4.43128069e-01 
 1.50000000e-02 -4.68352337e-01 
 1.60000000e-02 -4.92363277e-01 
 1.70000000e-02 -5.15135351e-01 
 1.80000000e-02 -5.36656447e-01 
 1.90000000e-02 -5.56927678e-01 
 2.00000000e-02 -5.75962649e-01 
 2.10000000e-02 -5.93786227e-01 
 2.20000000e-02 -6.10432938e-01 
 2.30000000e-02 -6.25945131e-01 
 2.40000000e-02 -6.40371057e-01 
 2.50000000e-02 -6.53763018e-01 
 2.60000000e-02 -6.66175715e-01 
 2.70000000e-02 -6.77664900e-01 
 2.80000000e-02 -6.88286408e-01 
 2.90000000e-02 -6.98095579e-01 
 3.00000000e-02 -7.07147024e-01 
 3.10000000e-02 -7.15494623e-01 
 3.20000000e-02 -7.23191575e-01 
 3.30000000e-02 -7.30290324e-01 
 3.40000000e-02 -7.36842256e-01 
 3.50000000e-02 -7.42897162e-01 
 3.60000000e-02 -7.48502568e-01 
 3.70000000e-02 -7.53703090e-01 
 3.80000000e-02 -7.58539922e-01 
 3.90000000e-02 -7.63050546e-01 
 4.00000000e-02 -7.67268652e-01 
 4.10000000e-02 -7.71224235e-01 
 4.20000000e-02 -7.74943827e-01 
 4.30000000e-02 -7.78450792e-01 
 4.40000000e-02 -7.81765656e-01 
 4.50000000e-02 -7.84906441e-01 
 4.60000000e-02 -7.87888978e-01 
 4.70000000e-02 -7.90727188e-01 
 4.80000000e-02 -7.93433345e-01 
 4.90000000e-02 -7.96018293e-01 
 5.00000000e-02 -7.98491640e-01 
