I_D	g_m
1.000000000000000e-009	3.517361e-006
1.001000000000000e-006	6.221509e-006
2.001000000000000e-006	3.239434e-005
3.001000000000000e-006	4.539698e-005
4.001000000000000e-006	5.576299e-005
5.000999999999999e-006	6.454290e-005
6.000999999999999e-006	7.157744e-005
7.000999999999999e-006	7.765450e-005
8.000999999999998e-006	8.293953e-005
9.000999999999999e-006	8.755005e-005
1.000100000000000e-005	9.159869e-005
1.100100000000000e-005	9.517800e-005
1.200100000000000e-005	9.836173e-005
1.300100000000000e-005	1.012105e-004
1.400100000000000e-005	1.037751e-004
1.500100000000000e-005	1.060969e-004
1.600100000000000e-005	1.082111e-004
1.700100000000000e-005	1.101467e-004
1.800100000000000e-005	1.119283e-004
1.900100000000000e-005	1.135771e-004
2.000100000000000e-005	1.151103e-004
2.100100000000000e-005	1.165428e-004
2.200100000000001e-005	1.178875e-004
2.300100000000001e-005	1.191547e-004
2.400100000000001e-005	1.203531e-004
2.500100000000001e-005	1.214913e-004
2.600100000000001e-005	1.225764e-004
2.700100000000001e-005	1.236123e-004
2.800100000000001e-005	1.246038e-004
2.900100000000001e-005	1.255568e-004
3.000100000000001e-005	1.264740e-004
3.100100000000001e-005	1.273572e-004
3.200100000000001e-005	1.282098e-004
3.300100000000001e-005	1.290347e-004
3.400100000000000e-005	1.298330e-004
3.500100000000000e-005	1.306062e-004
3.600100000000000e-005	1.313557e-004
3.700099999999999e-005	1.320833e-004
3.800099999999999e-005	1.327905e-004
3.900099999999999e-005	1.334761e-004
4.000099999999999e-005	1.341426e-004
4.100099999999998e-005	1.347914e-004
4.200099999999998e-005	1.354214e-004
4.300099999999998e-005	1.360341e-004
4.400099999999997e-005	1.366295e-004
4.500099999999997e-005	1.372089e-004
4.600099999999997e-005	1.377723e-004
4.700099999999997e-005	1.383197e-004
4.800099999999996e-005	1.388526e-004
4.900099999999996e-005	1.393705e-004
5.000099999999996e-005	1.398742e-004
5.100099999999995e-005	1.403628e-004
5.200099999999995e-005	1.408377e-004
5.300099999999995e-005	1.412997e-004
5.400099999999995e-005	1.417479e-004
5.500099999999994e-005	1.421834e-004
5.600099999999994e-005	1.426058e-004
5.700099999999994e-005	1.430155e-004
5.800099999999994e-005	1.434128e-004
5.900099999999993e-005	1.437994e-004
6.000099999999993e-005	1.441726e-004
6.100099999999993e-005	1.445340e-004
6.200099999999992e-005	1.448860e-004
6.300099999999992e-005	1.452258e-004
6.400099999999992e-005	1.455547e-004
6.500099999999992e-005	1.458723e-004
6.600099999999991e-005	1.461799e-004
6.700099999999991e-005	1.464773e-004
6.800099999999991e-005	1.467630e-004
6.900099999999990e-005	1.470409e-004
7.000099999999990e-005	1.473094e-004
7.100099999999990e-005	1.475673e-004
7.200099999999990e-005	1.478156e-004
7.300099999999989e-005	1.480556e-004
7.400099999999989e-005	1.482859e-004
7.500099999999989e-005	1.485077e-004
7.600099999999988e-005	1.487210e-004
7.700099999999988e-005	1.489256e-004
7.800099999999988e-005	1.491229e-004
7.900099999999988e-005	1.493100e-004
8.000099999999987e-005	1.494909e-004
8.100099999999987e-005	1.496643e-004
8.200099999999987e-005	1.498287e-004
8.300099999999987e-005	1.499854e-004
8.400099999999986e-005	1.501371e-004
8.500099999999986e-005	1.502796e-004
8.600099999999986e-005	1.504143e-004
8.700099999999985e-005	1.505453e-004
8.800099999999985e-005	1.506669e-004
8.900099999999985e-005	1.507820e-004
9.000099999999985e-005	1.508919e-004
9.100099999999984e-005	1.509951e-004
9.200099999999984e-005	1.510916e-004
9.300099999999984e-005	1.511829e-004
9.400099999999983e-005	1.512674e-004
9.500099999999983e-005	1.513452e-004
9.600099999999983e-005	1.514176e-004
9.700099999999983e-005	1.514845e-004
9.800099999999982e-005	1.515475e-004
9.900099999999982e-005	1.516036e-004
1.000009999999998e-004	1.516543e-004
1.010009999999998e-004	1.517010e-004
1.020009999999998e-004	1.517407e-004
1.030009999999998e-004	1.517764e-004
1.040009999999998e-004	1.518080e-004
1.050009999999998e-004	1.518341e-004
1.060009999999998e-004	1.518547e-004
1.070009999999998e-004	1.518712e-004
1.080009999999998e-004	1.518850e-004
1.090009999999998e-004	1.518919e-004
1.100009999999998e-004	1.518946e-004
1.110009999999998e-004	1.518946e-004
1.120009999999998e-004	1.518905e-004
1.130009999999998e-004	1.518809e-004
