Freq.	V(n004)
1.00000000000000e+000	(2.20783631417840e+002dB,1.79637957116410e+002°)
1.12201845430196e+000	(2.20783586519974e+002dB,1.79593782603215e+002°)
1.25892541179417e+000	(2.20783529997569e+002dB,1.79544218561664e+002°)
1.41253754462275e+000	(2.20783458841123e+002dB,1.79488607608042e+002°)
1.58489319246111e+000	(2.20783369262123e+002dB,1.79426212243939e+002°)
1.77827941003892e+000	(2.20783256491471e+002dB,1.79356205121300e+002°)
1.99526231496888e+000	(2.20783114525795e+002dB,1.79277658136337e+002°)
2.23872113856834e+000	(2.20782935808196e+002dB,1.79189530216278e+002°)
2.51188643150958e+000	(2.20782710826526e+002dB,1.79090653649194e+002°)
2.81838293126445e+000	(2.20782427607956e+002dB,1.78979718792823e+002°)
3.16227766016838e+000	(2.20782071083161e+002dB,1.78855256983973e+002°)
3.54813389233575e+000	(2.20781622286649e+002dB,1.78715621456229e+002°)
3.98107170553497e+000	(2.20781057351253e+002dB,1.78558966061460e+002°)
4.46683592150963e+000	(2.20780346244204e+002dB,1.78383221581425e+002°)
5.01187233627272e+000	(2.20779451178999e+002dB,1.78186069411906e+002°)
5.62341325190348e+000	(2.20778324620902e+002dB,1.77964912406464e+002°)
6.30957344480192e+000	(2.20776906783682e+002dB,1.77716842684751e+002°)
7.07945784384137e+000	(2.20775122490299e+002dB,1.77438606247924e+002°)
7.94328234724280e+000	(2.20772877239879e+002dB,1.77126564310439e+002°)
8.91250938133744e+000	(2.20770052286577e+002dB,1.76776651366332e+002°)
9.99999999999998e+000	(2.20766498491910e+002dB,1.76384330177068e+002°)
1.12201845430196e+001	(2.20762028660501e+002dB,1.75944544121881e+002°)
1.25892541179417e+001	(2.20756408009657e+002dB,1.75451667723533e+002°)
1.41253754462275e+001	(2.20749342357148e+002dB,1.74899456697039e+002°)
1.58489319246111e+001	(2.20740463541806e+002dB,1.74280999623726e+002°)
1.77827941003892e+001	(2.20729311524404e+002dB,1.73588674400758e+002°)
